Epoch,Total Epochs,Epoch Time (s),Time per Step (ms),Loss,Accuracy
1,10,3955.164178,79.103284,1.568771,0.427557
2,10,3972.907271,79.458145,1.219082,0.572463
3,10,4122.750390,82.455008,1.161449,0.598552
4,10,3849.405877,76.988118,1.190575,0.591749
5,10,3834.896035,76.697921,1.269099,0.565501
6,10,3880.385386,77.607708,1.386958,0.524588
7,10,3844.485970,76.889719,1.520567,0.474892
8,10,3894.032719,77.880654,1.649379,0.426496
9,10,4276.837708,85.536754,1.665431,0.415113
10,10,3818.366271,76.367325,1.713541,0.396027
